period,gaslimit,readtime,dbwritetime,dbreaadtime,blockcommittime,tps,latency,contracttime
5,15000000,1.32ms,7943.983187499999µs,3625.957500000001µs,4982.428571428572ms,114.2857143,33212.14727639543ms,7.320092915214866ms
5,16500000,1.37ms,2837.7300666666665µs,4896.483666666667µs,4995.5ms,123.0769231,33668.41642512077ms,6.731121679619534ms
5,18000000,1.42ms,4184.988666666667µs,4746.198466666666µs,4990.166666666667ms,123.0769231,32874.339299171064ms,6.724860982391103ms
5,19500000,1.4ms,3170.0506µs,5076.964400000001µs,4994.333333333333ms,123.0769231,33537.44570563753ms,6.713839389030317ms
5,21000000,1.31ms,3834.9218666666666µs,5051.385933333335µs,4993.166666666667ms,123.0769231,31887.957811596996ms,6.704842251242344ms
5,22500000,1.36ms,4233.8355µs,5804.399285714286µs,4992.4ms,133.3333333,33556.532211814185ms,6.121191135734072ms
5,24000000,1.65ms,3649.4644285714285µs,5843.501357142857µs,4995ms,133.3333333,31914.427276473012ms,6.11550432276657ms
5,25500000,1.36ms,4553.335928571428µs,5891.695785714286µs,4988.8ms,133.3333333,30708.210506280928ms,6.1062751871042025ms
5,27000000,1.39ms,3167.4784999999997µs,5816.694071428571µs,4994.8ms,133.3333333,31529.084736355228ms,6.097976080956761ms
5,28500000,1.45ms,6980.167357142856µs,6570.8635µs,4988.8ms,133.3333333,30174.415065626785ms,6.091420695991731ms
5,30000000,1.56ms,3374.3626428571433µs,5730.563428571429µs,4993.6ms,133.3333333,31348.4112654321ms,6.082358339068594ms
6,15000000,1.73ms,3389.336846153846µs,6454.334000000001µs,4994ms,121.2121212,28015.34400767018ms,5.503723221445756ms
6,16500000,1.65ms,3974.816615384615µs,7005.098692307692µs,4992.5ms,121.2121212,27647.928571428572ms,5.496853186863485ms
6,18000000,1.46ms,5924.011923076923µs,6217.075153846154µs,4993ms,121.2121212,26717.36895621498ms,5.489028571428571ms
6,19500000,1.55ms,4105.13023076923µs,6117.230999999999µs,4992.25ms,121.2121212,26577.500368459838ms,5.482250884602214ms
6,21000000,1.72ms,3374.787µs,6824.0599999999995µs,4992.5ms,121.2121212,27977.482440990214ms,5.477998176014592ms
6,22500000,1.79ms,3250.588769230769µs,6386.026923076924µs,4995.25ms,121.2121212,27359.213974626018ms,5.468860298303541ms
6,24000000,1.72ms,3751.781461538461µs,6092.1285384615385µs,4992ms,121.2121212,25789.833115060803ms,5.460427564248351ms
6,25500000,1.71ms,3700.653750000001µs,6847.553583333333µs,4994.333333333333ms,133.3333333,27222.79665686995ms,4.88847245883021ms
6,27000000,1.85ms,3489.5338333333334µs,7647.621416666666µs,4994ms,133.3333333,24878.16801948052ms,4.883053539019964ms
6,28500000,1.82ms,4310.86175µs,6634.956666666665µs,4991.666666666667ms,133.3333333,25964.912304165075ms,4.880480344397871ms
6,30000000,1.58ms,6872.164250000001µs,3955.7667857142865µs,4992.666666666667ms,133.3333333,26318.617060637203ms,4.870770623514767ms
7,15000000,1.78ms,7300.212833333334µs,9848.332615384616µs,4983.666666666667ms,114.2857143,25021.139208173692ms,4.864263110307414ms
7,16500000,1.83ms,6986.3682499999995µs,3969.486375µs,4990.333333333333ms,114.2857143,26424.489241469244ms,4.858013544018059ms
7,18000000,1.83ms,7819.536750000002µs,3485.53375µs,4991.666666666667ms,114.2857143,23512.447715109098ms,4.850749633637696ms
7,19500000,1.76ms,6174.752500000001µs,4087.4585625µs,4987.333333333333ms,114.2857143,23679.76049270073ms,4.843503715379419ms
7,21000000,2.16ms,6370.368818181817µs,3007.451764705882µs,4997ms,126.984127,23539.703543307085ms,4.2796267146390825ms
7,22500000,1.77ms,6108.764363636364µs,4210.005533333333µs,4991.5ms,126.984127,23657.667338709678ms,4.275381850853549ms
7,24000000,1.61ms,6378.081909090909µs,4493.682470588235µs,4992.5ms,126.984127,23822.852963525835ms,4.268984856982613ms
7,25500000,2.57ms,6438.457µs,5154.582052631579µs,4986ms,126.984127,23238.90186915888ms,4.260923145866009ms
7,27000000,1.81ms,9117.598272727271µs,3927.5686470588244µs,4990ms,126.984127,24596.378949710725ms,4.258587893028981ms
7,28500000,1.89ms,6732.324636363636µs,3361.997888888889µs,4992.5ms,126.984127,23279.97518779877ms,4.253017434063477ms
7,30000000,2.19ms,6222.1066363636355µs,4123.831095238095µs,4992.5ms,126.984127,22712.961158798284ms,4.2479071324924655ms
8,15000000,1.92ms,6576.671545454547µs,3538.222105263157µs,4988.5ms,111.1111111,22232.26961483595ms,4.241667595585777ms
8,16500000,2.2ms,6489.109727272728µs,4100.696800000001µs,4991.5ms,111.1111111,22723.30368723365ms,4.233578267646404ms
8,18000000,2.66ms,6234.009818181818µs,4392.960217391305µs,4990ms,111.1111111,22851.080249665625ms,4.226817878585724ms
8,19500000,2.23ms,7218.5679µs,4920.8179500000015µs,4990ms,125,22382.59487179487ms,3.67255163224517ms
8,21000000,blockpropagation,8921.7686µs,4567.015047619048µs,4990ms,125,20534.83969465649ms,3.6690328305235136ms
8,22500000,3.15ms,8892.4861µs,4092.933095238095µs,4991ms,125,21609.548529071115ms,3.662900188323917ms
8,24000000,2.21ms,7517.906999999999µs,6054.231210526316µs,4986ms,125,20579.657272727272ms,3.6589953529541934ms
8,25500000,2.54ms,7637.222µs,3743.951777777778µs,4987ms,125,22247.496348749723ms,3.6517847275942095ms
8,27000000,2.33ms,7970.370000000001µs,3611.1488749999994µs,4987ms,125,20694.26322163908ms,3.6462862818673436ms
8,28500000,3.12ms,7136.805900000001µs,3952.0438333333336µs,4980ms,125,20142.3530710558ms,3.644731040564374ms
8,30000000,2.29ms,7307.8383µs,3446.90152631579µs,4988ms,125,19869.39124643197ms,3.6387757348893537ms
9,15000000,2.78ms,7011.1513µs,3576.5741499999995µs,4986ms,111.1111111,20129.055740432614ms,3.633095107201759ms
9,16500000,2.25ms,6989.732999999998µs,3103.6098750000006µs,4988ms,111.1111111,19647.476093023255ms,3.627498352734461ms
9,18000000,2.49ms,7362.173199999999µs,2798.1943913043474µs,4984ms,111.1111111,19781.567330336118ms,3.6223952621188857ms
9,19500000,2.71ms,8545.7651µs,3394.336347826087µs,4987ms,111.1111111,19038.025832766827ms,3.6173055859802847ms
9,21000000,2.21ms,7697.847333333334µs,3505.0011111111107µs,4995.333333333333ms,126.984127,18572.777335984094ms,3.0714285714285716ms
9,22500000,3.06ms,7080.439333333334µs,3427.5550000000007µs,4992.5ms,126.984127,18976.788822525596ms,3.068720638042172ms
9,24000000,2.78ms,7991.844444444445µs,3279.9350370370366µs,4989.666666666667ms,126.984127,19183.226755852844ms,3.0649279790484503ms
9,25500000,3.31ms,8801.222555555556µs,3411.860166666666µs,4991.833333333333ms,126.984127,19236.606571936056ms,3.0598365122615805ms
9,27000000,2.76ms,8067.828888888889µs,3107.917724137931µs,4992.333333333333ms,126.984127,18631.580322991926ms,3.057043326801655ms
9,28500000,2.52ms,7881.378888888889µs,3064.3238965517244µs,4991.833333333333ms,126.984127,17704.72891674127ms,3.0521852576647097ms
9,30000000,2.39ms,8429.56311111111µs,3030.5946333333336µs,4992.666666666667ms,126.984127,18101.85183737295ms,3.0486480616787923ms
10,15000000,2.87ms,8342.18911111111µs,3072.24424137931µs,4991.166666666667ms,114.2857143,18379.777565328233ms,3.0457651013989806ms
10,16500000,3.08ms,8143.988666666667µs,3231.9336206896555µs,4989.833333333333ms,114.2857143,18024.755851569935ms,3.038994800693241ms
10,18000000,2.6ms,8198.640111111112µs,3280.664107142857µs,4992.666666666667ms,114.2857143,17302.66782760122ms,3.033643444396365ms
10,19500000,3.32ms,8620.608µs,3640.12523076923µs,4989.333333333333ms,114.2857143,16485.026694045173ms,3.0352203975799483ms
10,21000000,2.67ms,10478.057555555557µs,2512.6319062499997µs,4992.5ms,114.2857143,17590.24629286376ms,3.0264350453172204ms
10,22500000,2.53ms,8052.567999999999µs,3367.3584482758624µs,4989.166666666667ms,114.2857143,17713.29452900041ms,3.021228448275862ms
10,24000000,2.7ms,7857.756444444445µs,2852.6556388888876µs,4990ms,114.2857143,16195.546649145861ms,3.017649591046061ms
10,25500000,3.27ms,8344.60888888889µs,3189.768605263158µs,4989.333333333333ms,114.2857143,17746.750730501237ms,3.0161220980223558ms
10,27000000,3.77ms,7614.468666666666µs,3681.964647058823µs,4990.333333333333ms,114.2857143,16710.165890441338ms,3.011602922217447ms
10,28500000,3.61ms,8490.711777777778µs,3157.8952903225795µs,4989.166666666667ms,114.2857143,15871.892884914463ms,3.0133218736570693ms
10,30000000,3.45ms,7990.823777777779µs,3647.4447499999997µs,4987.166666666667ms,114.2857143,16682.808514700268ms,3.0139664804469275ms
11,15000000,3.07ms,8064.557666666667µs,2966.2111071428562µs,4991.666666666667ms,103.8961039,16703.40306122449ms,3.0119252256123765ms
11,16500000,3.23ms,8109.790222222222µs,3265.835222222222µs,4989.5ms,103.8961039,17508.031368631368ms,3.0119252256123765ms
11,18000000,3.97ms,7971.162888888889µs,2776.3212857142858µs,4991.833333333333ms,103.8961039,16982.263145809415ms,3.01299957026214ms
11,19500000,3.71ms,9369.138555555553µs,3064.939970588235µs,4990.333333333333ms,103.8961039,18296.916940609248ms,3.0107434464976364ms
11,21000000,3.8ms,9094.245µs,3371.850027027027µs,4986ms,103.8961039,17346.948581922057ms,3.0131070047271167ms
11,22500000,3.26ms,8727.529555555557µs,3689.89840625µs,4988.833333333333ms,103.8961039,16500.248300020605ms,3.011495487752471ms
11,24000000,3.72ms,8473.734333333334µs,3324.0605882352943µs,4990.166666666667ms,103.8961039,16097.106091718002ms,3.015577997421573ms
11,25500000,3.33ms,8099.5675555555545µs,3438.763972222221µs,4988.666666666667ms,103.8961039,16690.601220752797ms,3.0118177911474002ms
11,27000000,4.25ms,10629.109555555555µs,3262.692564102564µs,4990ms,103.8961039,16703.367914876202ms,3.012032660077353ms
11,28500000,3.68ms,8242.47011111111µs,3332.555235294118µs,4989.333333333333ms,103.8961039,17415.852158486105ms,3.0113880532874946ms
11,30000000,3.29ms,7989.761222222223µs,3752.592194444445µs,4988.166666666667ms,103.8961039,17296.245571302035ms,3.011602922217447ms
12,15000000,3.6ms,8624.01588888889µs,2875.7630731707313µs,4991.166666666667ms,95.23809524,17004.699643140364ms,3.0127847013321873ms
12,16500000,3.57ms,7916.6632222222215µs,3686.142931818181µs,4991.833333333333ms,95.23809524,16365.692440521872ms,3.012032660077353ms
12,18000000,4.33ms,7886.562222222222µs,3095.1425555555556µs,4990.833333333333ms,95.23809524,16334.650473343298ms,3.0113880532874946ms
12,19500000,4.07ms,9296.403333333335µs,3285.7755833333335µs,4988.833333333333ms,95.23809524,16899.13299351251ms,3.012140094542329ms
12,21000000,2.98ms,7754.457666666667µs,3487.057638888888µs,4991.166666666667ms,95.23809524,16548.085420944557ms,3.012032660077353ms
12,22500000,4.4ms,7996.32511111111µs,3236.3674545454546µs,4991.5ms,95.23809524,17144.79713114754ms,3.0112806188225183ms
12,24000000,4.14ms,8222.561666666666µs,3361.4296315789484µs,4988.5ms,95.23809524,18072.60790651417ms,3.011173184357542ms
12,25500000,4.14ms,8205.29577777778µs,3142.2505000000006µs,4991ms,95.23809524,15708.722311683665ms,3.0118177911474002ms
12,27000000,3.98ms,7541.455666666666µs,3656.529914285715µs,4988.5ms,95.23809524,17124.126678693126ms,3.011602922217447ms
12,28500000,4.1ms,8779.692888888889µs,3316.2916730769234µs,4988.166666666667ms,95.23809524,16585.438045375216ms,3.016222604211431ms
12,30000000,4.92ms,8114.726111111111µs,3356.007250000001µs,4990.666666666667ms,95.23809524,16942.7674965693ms,3.0107434464976364ms
13,15000000,4.15ms,7956.539µs,3346.653594594594µs,4991ms,87.91208791,15809.985470625395ms,3.011710356682424ms
13,16500000,3.82ms,7887.908777777779µs,4226.249250000002µs,4978.833333333333ms,87.91208791,18861.30018894662ms,3.0112806188225183ms
13,18000000,4.24ms,8535.76511111111µs,3636.7660196078427µs,4989.166666666667ms,87.91208791,16530.536844484628ms,3.0124623979372585ms
13,19500000,5.2ms,8379.859333333334µs,3336.7179318181807µs,4990.833333333333ms,87.91208791,17052.716271463614ms,3.0118177911474002ms
13,21000000,4.21ms,8467.516µs,3150.150529411765µs,4991.833333333333ms,87.91208791,17041.08962264151ms,3.011710356682424ms
13,22500000,4.63ms,11371.414222222222µs,3523.2559791666663µs,4990ms,87.91208791,17264.90799746782ms,3.0149333906317146ms
13,24000000,3.66ms,8141.716555555555µs,3226.687184210526µs,4991ms,87.91208791,16611.071258907363ms,3.012032660077353ms
13,25500000,5.4ms,8412.445444444445µs,3485.7858095238084µs,4990.833333333333ms,87.91208791,16537.741556167126ms,3.0118177911474002ms
13,27000000,4.48ms,8336.556222222222µs,3591.7084166666664µs,4988.166666666667ms,87.91208791,16495.569842738205ms,3.011602922217447ms
13,28500000,4.84ms,7845.664111111111µs,3007.5690909090913µs,4992.166666666667ms,87.91208791,16243.968689601856ms,3.011602922217447ms
13,30000000,3.71ms,8037.162444444444µs,2867.330125µs,4991ms,87.91208791,16991.12541050903ms,3.011495487752471ms
14,15000000,4.4ms,8450.820555555556µs,3007.5425454545452µs,4987.666666666667ms,81.63265306,17054.281409081654ms,3.0143962183068327ms
14,16500000,4.85ms,8110.984888888889µs,3140.048586956521µs,4991.5ms,81.63265306,16852.8809478673ms,3.0119252256123765ms
14,18000000,3.82ms,15140.00311111111µs,3049.1575490196074µs,4990.333333333333ms,81.63265306,16720.209238509033ms,3.0107434464976364ms
14,19500000,4.27ms,5578.409777777778µs,2974.7078958333336µs,4992.5ms,81.63265306,17161.55171704709ms,3.0112806188225183ms
14,21000000,4.28ms,6788.117888888889µs,3490.892428571428µs,4990.666666666667ms,81.63265306,16254.587082884822ms,3.01063601203266ms
14,22500000,3.78ms,6606.100999999999µs,3548.0223043478263µs,4990.666666666667ms,81.63265306,16538.505465779468ms,3.0107434464976364ms
14,24000000,3.91ms,6473.869µs,3401.6173µs,4992.833333333333ms,81.63265306,16797.884547069272ms,3.015577997421573ms
14,25500000,5.23ms,6354.2863333333335µs,3568.0560930232555µs,4992ms,81.63265306,17670.798521975885ms,3.0124623979372585ms
14,27000000,4.47ms,7110.627666666666µs,3405.2401489361705µs,4991.666666666667ms,81.63265306,17516.690401785716ms,3.011495487752471ms
14,28500000,4.81ms,6419.212666666666µs,3982.99123255814µs,4988.333333333333ms,81.63265306,17365.197512250284ms,3.011495487752471ms
14,30000000,4.65ms,8018.7155555555555µs,3363.612716981133µs,4990.333333333333ms,81.63265306,17180.446574752263ms,3.012140094542329ms
15,15000000,4.47ms,6980.962777777777µs,3251.868076923076µs,4991.666666666667ms,76.19047619,17088.2151503319ms,3.0112806188225183ms
15,16500000,4.88ms,7215.300333333334µs,2772.4364545454537µs,4991ms,76.19047619,18422.80685424159ms,3.0107434464976364ms
15,18000000,4.2ms,6870.321111111111µs,3928.8499583333337µs,4990.333333333333ms,76.19047619,16860.28190279214ms,3.0112806188225183ms
15,19500000,4.32ms,7413.072666666666µs,3934.3140961538465µs,4981.5ms,76.19047619,16577.707740535327ms,3.0113880532874946ms
15,21000000,4.99ms,7174.379333333334µs,4115.838036363636µs,4988ms,76.19047619,17378.219502407705ms,3.0123549634722817ms
15,22500000,5.41ms,7252.260666666666µs,3867.1583043478267µs,4989.333333333333ms,76.19047619,16364.09966555184ms,3.0143962183068327ms
